crop_id,source_name,source_image_path,source_label_path,crop_path,class_name,bbox_xyxy,crop_width,crop_height,sha256,notes
dfire_fire_5a60446b1014fd8d,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF00001.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF00001.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/fire/DFire/dfire_fire_5a60446b1014fd8d.png,fire,"[163,396,314,487]",151,91,926c58181ff1be3d3838417918fb78fa65245fbf95b6c7ff9bfa355d60fdf1f5,yolo_normalized_bbox
dfire_smoke_cfad3c069c9ff880,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF00002.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF00002.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_cfad3c069c9ff880.png,smoke,"[814,158,854,191]",40,33,716d0af8333792130745eaa140bafb1ba19dc8cb76e463957f4ee06fed1b3dfc,yolo_normalized_bbox
dfire_smoke_0c892576cffdd336,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF01029.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF01029.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_0c892576cffdd336.png,smoke,"[1173,103,1251,171]",78,68,20e0c35a83248a8d572d61ed6d8c32c9c008619792ceee574f3ad06c041c74c8,yolo_normalized_bbox
dfire_smoke_5317d47a36ca9967,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF01030.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF01030.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_5317d47a36ca9967.png,smoke,"[1175,100,1249,169]",74,69,d17a154462ebea0abcde98e5f195badf3e898c0851c7de2848ef6f7c32406c9a,yolo_normalized_bbox
dfire_smoke_e14b12be03674be7,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF01166.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF01166.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_e14b12be03674be7.png,smoke,"[84,65,1233,443]",1149,378,19413a90e8b594e2087cb951cc8a85811b593b548416911244bd683b5f182a48,yolo_normalized_bbox
dfire_fire_9fae5cb2618dd135,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF02119.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF02119.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/fire/DFire/dfire_fire_9fae5cb2618dd135.png,fire,"[321,0,774,69]",453,69,3f30b165a1e4464150330ea8517b85f4495bda2f490bac782a3a8d6765a34896,yolo_normalized_bbox
dfire_smoke_7bd5f95e083c66a2,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF03565.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF03565.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_7bd5f95e083c66a2.png,smoke,"[415,279,446,304]",31,25,9250a11ba9303aac6c9bf01f3f612c6961b8a5dc869b120d90b9f023925eabd8,yolo_normalized_bbox
dfire_smoke_b7ecd0bc2be7d657,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF03566.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF03566.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_b7ecd0bc2be7d657.png,smoke,"[398,272,444,302]",46,30,f3d4f39c5e351add52869121a1dbb1b019b273b7b280952a4b8ec484b7eda3c6,yolo_normalized_bbox
dfire_smoke_56f90b95da81df36,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF03567.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF03567.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_56f90b95da81df36.png,smoke,"[396,270,446,305]",50,35,d1e9464357de3365102ca710baee02091bfbea6dde51fb898b60955ab195e4f6,yolo_normalized_bbox
dfire_smoke_c662c23743916f32,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF03568.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF03568.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_c662c23743916f32.png,smoke,"[383,270,436,301]",53,31,7865f706192e5fb8ada8d9edb3ad20704b599060741ba7c5e10c38058c17e6d9,yolo_normalized_bbox
dfire_smoke_88e7a819503fac50,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF03570.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF03570.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_88e7a819503fac50.png,smoke,"[378,266,437,301]",59,35,0b6fc68000f0b1640aa1d343227b7856c71ba098ac078196eb6e58e8be208dfe,yolo_normalized_bbox
dfire_smoke_d1cc6f3ee9ded14e,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF03796.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF03796.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_d1cc6f3ee9ded14e.png,smoke,"[429,250,452,272]",23,22,718b8ebbfa56a9b98da7f1fbcf867eee98a256fc1753f64c654cd1a890d598dc,yolo_normalized_bbox
dfire_smoke_101f38a3fac0d9cf,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF03797.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF03797.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_101f38a3fac0d9cf.png,smoke,"[427,244,488,271]",61,27,e71f39b6491d6b6f350111ae2a6e424b3eb3b6bd23325e5d4585722f68d46c5d,yolo_normalized_bbox
dfire_smoke_df29b94f2591c828,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF04009.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF04009.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/DFire/dfire_smoke_df29b94f2591c828.png,smoke,"[343,54,922,394]",579,340,fa1946b864623ff1c96eb3b1ea654697b0a8633d5bf4121eee1ef0cc545035d9,yolo_normalized_bbox
dfire_fire_ceb1e39ed6d34bfb,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF04009.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF04009.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/fire/DFire/dfire_fire_ceb1e39ed6d34bfb.png,fire,"[867,435,1041,506]",174,71,45ff141b23c2319ce16d0a78bf226c7e430a34dc43f4d2334e78ac6fd05d5ffe,yolo_normalized_bbox
dfire_fire_3e6236830d0374f5,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF04009.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF04009.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/fire/DFire/dfire_fire_3e6236830d0374f5.png,fire,"[683,165,742,249]",59,84,fd1bd7c94a7e489bc9c3e46b015fe2952c76d4b59afca40b309f51aa3874d0a5,yolo_normalized_bbox
dfire_fire_2b34f8993ab508b4,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF04009.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF04009.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/fire/DFire/dfire_fire_2b34f8993ab508b4.png,fire,"[595,280,745,373]",150,93,8f1348324f334e2d8e2c573e4c93a45cc6f2254c85c581a923ea771f5f3b6160,yolo_normalized_bbox
dfire_fire_6b5702e845c97b0f,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF04009.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF04009.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/fire/DFire/dfire_fire_6b5702e845c97b0f.png,fire,"[554,405,602,458]",48,53,c03f43ca75df6bd362b0ac0ad6541e5935dddd576b5e27ad255cdf07d067c29d,yolo_normalized_bbox
dfire_fire_bee89fea3f8df213,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF04010.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF04010.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/fire/DFire/dfire_fire_bee89fea3f8df213.png,fire,"[907,433,1036,503]",129,70,4311e8c0f0a92417efae9543873b2612454ca4f18b2f42d8eaba07d742dfb933,yolo_normalized_bbox
dfire_fire_234a8cec035e1bbe,DFire,01_raw/01_donor/DFire/unzipped/images_labels/train/images/AoF04010.jpg,01_raw/01_donor/DFire/unzipped/images_labels/train/labels/AoF04010.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/fire/DFire/dfire_fire_234a8cec035e1bbe.png,fire,"[604,297,744,374]",140,77,2c419707f133ea3ceb5a8d040f07a32b9548945d8e64eb562b9e3798aa32374b,yolo_normalized_bbox
cqu_firesmokeyolo_fire_287de46a9b7f797d,CQU_FireSmokeYOLO,01_raw/01_donor/CQU_FireSmokeYOLO/unzipped/train/images/000_Par7762903_0_jpg.rf.7262242281325b586ce51ef0a627c02c.jpg,01_raw/01_donor/CQU_FireSmokeYOLO/unzipped/train/labels/000_Par7762903_0_jpg.rf.7262242281325b586ce51ef0a627c02c.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/fire/CQU_FireSmokeYOLO/cqu_firesmokeyolo_fire_287de46a9b7f797d.png,fire,"[232,241,312,321]",80,80,4372a9022d5e811856f345ca4b77907459469abf8961cfe957a6e764cb64796b,yolo_normalized_bbox
cqu_firesmokeyolo_smoke_0c2b4b084f902778,CQU_FireSmokeYOLO,01_raw/01_donor/CQU_FireSmokeYOLO/unzipped/train/images/00270_jpg.rf.fbffa7af20208bb5787bd840ba21c0da.jpg,01_raw/01_donor/CQU_FireSmokeYOLO/unzipped/train/labels/00270_jpg.rf.fbffa7af20208bb5787bd840ba21c0da.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/CQU_FireSmokeYOLO/cqu_firesmokeyolo_smoke_0c2b4b084f902778.png,smoke,"[284,2,616,502]",332,500,d3f779c299e42dbf6fdeeca4969f0df5881c431270218de2a6aebb0a8752213f,yolo_normalized_bbox
cqu_firesmokeyolo_smoke_f998bdfd35ae392f,CQU_FireSmokeYOLO,01_raw/01_donor/CQU_FireSmokeYOLO/unzipped/train/images/00388_jpg.rf.e9134a954553e85127a86f8f47f1fde8.jpg,01_raw/01_donor/CQU_FireSmokeYOLO/unzipped/train/labels/00388_jpg.rf.e9134a954553e85127a86f8f47f1fde8.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/CQU_FireSmokeYOLO/cqu_firesmokeyolo_smoke_f998bdfd35ae392f.png,smoke,"[145,81,327,287]",182,206,4c8e79aa561eb3b7a18b0885fa584b7f8dfe0a2c19d185efecc77e276542d644,yolo_normalized_bbox
cqu_firesmokeyolo_smoke_c46bb67947026d50,CQU_FireSmokeYOLO,01_raw/01_donor/CQU_FireSmokeYOLO/unzipped/train/images/00388_jpg.rf.e9134a954553e85127a86f8f47f1fde8.jpg,01_raw/01_donor/CQU_FireSmokeYOLO/unzipped/train/labels/00388_jpg.rf.e9134a954553e85127a86f8f47f1fde8.txt,02_processed/crops/fire_smoke_donor_v1_smoke/images/smoke/CQU_FireSmokeYOLO/cqu_firesmokeyolo_smoke_c46bb67947026d50.png,smoke,"[0,9,140,283]",140,274,02666e61989441ac27c029362732dcc77cbaa1a3a22235b7346a442572532f09,yolo_normalized_bbox
