synth_id,image_path,label_path,background_frame_id,background_asset_id,background_frame_path,background_zone_l1,donor_crop_id,donor_source_name,donor_crop_path,class_name,class_id,bbox_xywh_norm,generation_seed,image_width,image_height,sha256,quality_flag,notes
synth_v1_000001_fire,02_processed/synth/v1_smoke/images/synth_v1_000001_fire.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000001_fire.txt,SHIP_DVIDS_001_3ecb335ebe874b93,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000061.jpg,engine_room,dfire_fire_ba3eb43c6c83d8fb,DFire,02_processed/crops/fire_smoke_donor_v1/images/fire/DFire/dfire_fire_ba3eb43c6c83d8fb.png,fire,0,"[0.432084,0.66875,0.215457,0.233333]",22553981,854,480,40061a4dd005d516f0034273fedacc816b1ab35f7eb9887db3bfe028a7bdc8cb,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.644; blur_radius=0.009
synth_v1_000002_smoke,02_processed/synth/v1_smoke/images/synth_v1_000002_smoke.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000002_smoke.txt,SHIP_DVIDS_001_3ecb335ebe874b93,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000061.jpg,engine_room,dfire_smoke_822227b5bf3e16b8,DFire,02_processed/crops/fire_smoke_donor_v1/images/smoke/DFire/dfire_smoke_822227b5bf3e16b8.png,smoke,1,"[0.382319,0.78125,0.122951,0.175]",385066293,854,480,b5b6378543cdbd56f8938cbc9acde65cc3a4f3fdfbcff1d2764e39c7d4b3b7e4,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.787; blur_radius=0.573
synth_v1_000003_fire,02_processed/synth/v1_smoke/images/synth_v1_000003_fire.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000003_fire.txt,SHIP_DVIDS_001_9b54493d5767b642,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000178.jpg,engine_room,dfire_fire_49bebf7d277041f2,DFire,02_processed/crops/fire_smoke_donor_v1/images/fire/DFire/dfire_fire_49bebf7d277041f2.png,fire,0,"[0.739461,0.302083,0.15808,0.179167]",2948878401,854,480,2ca4c86ba16f04549e0bd38e08b30ff7f8d1fb007bb6743b741101b47e4ddbea,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.857; blur_radius=0.724
synth_v1_000004_smoke,02_processed/synth/v1_smoke/images/synth_v1_000004_smoke.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000004_smoke.txt,SHIP_DVIDS_001_9b54493d5767b642,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000178.jpg,engine_room,cqu_firesmokeyolo_smoke_7614597beda26c4f,CQU_FireSmokeYOLO,02_processed/crops/fire_smoke_donor_v1/images/smoke/CQU_FireSmokeYOLO/cqu_firesmokeyolo_smoke_7614597beda26c4f.png,smoke,1,"[0.610656,0.464583,0.13466,0.154167]",4086648685,854,480,261994f4a344b56d32744806940f8664f2435d79d6a0f1e4783d347f3ea603f4,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.802; blur_radius=0.160
synth_v1_000005_fire,02_processed/synth/v1_smoke/images/synth_v1_000005_fire.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000005_fire.txt,SHIP_DVIDS_001_400f2782fd41337e,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000072.jpg,engine_room,dfire_fire_a57f41f2d185e491,DFire,02_processed/crops/fire_smoke_donor_v1/images/fire/DFire/dfire_fire_a57f41f2d185e491.png,fire,0,"[0.293326,0.589583,0.115925,0.0875]",971325483,854,480,aeec70f1a37583252524c2331221429af0a4ca7439a99a9d7bb76d028c488ccd,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.573; blur_radius=0.097
synth_v1_000006_smoke,02_processed/synth/v1_smoke/images/synth_v1_000006_smoke.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000006_smoke.txt,SHIP_DVIDS_001_400f2782fd41337e,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000072.jpg,engine_room,dfire_smoke_d1f851cccae3a30c,DFire,02_processed/crops/fire_smoke_donor_v1/images/smoke/DFire/dfire_smoke_d1f851cccae3a30c.png,smoke,1,"[0.7863,0.492708,0.094848,0.139583]",627750464,854,480,845951c5fbc1352e4577acff3f217ef78f89402fd35ad3c481a4c761a76bce22,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.695; blur_radius=0.802
synth_v1_000007_fire,02_processed/synth/v1_smoke/images/synth_v1_000007_fire.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000007_fire.txt,SHIP_DVIDS_001_c8ab8314378c8707,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000189.jpg,engine_room,cqu_firesmokeyolo_fire_78f99e838b03336e,CQU_FireSmokeYOLO,02_processed/crops/fire_smoke_donor_v1/images/fire/CQU_FireSmokeYOLO/cqu_firesmokeyolo_fire_78f99e838b03336e.png,fire,0,"[0.422717,0.552083,0.107728,0.308333]",1140619591,854,480,ccde380ce40b017edf4202a09ab04b26b962e6c08c75626936c56a0d3027cb2c,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.827; blur_radius=0.767
synth_v1_000008_smoke,02_processed/synth/v1_smoke/images/synth_v1_000008_smoke.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000008_smoke.txt,SHIP_DVIDS_001_c8ab8314378c8707,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000189.jpg,engine_room,dfire_smoke_81c8800062b4d50c,DFire,02_processed/crops/fire_smoke_donor_v1/images/smoke/DFire/dfire_smoke_81c8800062b4d50c.png,smoke,1,"[0.180913,0.597917,0.129977,0.116667]",4023583955,854,480,36fcf285874993a004db7824e5edca116d9175180d0b7f0eeae5e2de700f2888,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.870; blur_radius=0.035
synth_v1_000009_fire,02_processed/synth/v1_smoke/images/synth_v1_000009_fire.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000009_fire.txt,SHIP_DVIDS_001_45269f8c71df7506,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000124.jpg,engine_room,cqu_firesmokeyolo_fire_2ab37a5fb147992a,CQU_FireSmokeYOLO,02_processed/crops/fire_smoke_donor_v1/images/fire/CQU_FireSmokeYOLO/cqu_firesmokeyolo_fire_2ab37a5fb147992a.png,fire,0,"[0.191452,0.380208,0.048009,0.36875]",733111007,854,480,385d05235702f1318b6125b90927ebdf055d0db452e560c4ba1a4eb874ab0e3f,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.668; blur_radius=0.646
synth_v1_000010_smoke,02_processed/synth/v1_smoke/images/synth_v1_000010_smoke.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000010_smoke.txt,SHIP_DVIDS_001_45269f8c71df7506,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000124.jpg,engine_room,cqu_firesmokeyolo_smoke_3b3c701a9519faf2,CQU_FireSmokeYOLO,02_processed/crops/fire_smoke_donor_v1/images/smoke/CQU_FireSmokeYOLO/cqu_firesmokeyolo_smoke_3b3c701a9519faf2.png,smoke,1,"[0.758197,0.563542,0.204918,0.260417]",4176221156,854,480,a3e4fb8a52ba6c56ac55d935dac5be2a1441d57ad2d3fd26b8c58b6d48cf394d,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.557; blur_radius=0.176
