event_id,channel_id,event_type,frame_index,timestamp_s,confidence,boxes_in_frame,window_suspect_count,snapshot_path,notes
event_000001,ch01,suspect,1,0.000,0.803276,3,1,03_experiments/runtime_runs/seminar_v1/snapshots/ch01_first_suspect.jpg,prediction_above_conf
event_000002,ch01,suspect,2,0.500,0.887525,1,2,,prediction_above_conf
event_000003,ch01,alarm,2,0.500,0.887525,1,2,03_experiments/runtime_runs/seminar_v1/snapshots/ch01_first_alarm.jpg,temporal_k_in_5s_window
event_000004,ch01,suspect,3,1.000,0.861235,1,3,,prediction_above_conf
event_000005,ch01,suspect,4,1.500,0.734445,2,4,,prediction_above_conf
event_000006,ch01,suspect,5,2.000,0.630302,1,5,,prediction_above_conf
event_000007,ch01,suspect,6,2.500,0.867746,1,6,,prediction_above_conf
event_000008,ch01,suspect,7,3.000,0.969380,1,7,,prediction_above_conf
event_000009,ch01,suspect,8,3.500,0.955519,1,8,,prediction_above_conf
event_000010,ch01,suspect,9,4.000,0.471354,1,9,,prediction_above_conf
event_000011,ch01,suspect,10,4.500,0.763762,2,10,,prediction_above_conf
event_000012,ch01,suspect,11,5.000,0.804967,2,11,,prediction_above_conf
event_000013,ch01,suspect,12,5.500,0.563487,1,11,,prediction_above_conf
event_000014,ch01,suspect,13,6.000,0.935601,2,11,,prediction_above_conf
event_000015,ch01,suspect,14,6.500,0.925311,1,11,,prediction_above_conf
event_000016,ch01,suspect,15,7.000,0.783464,2,11,,prediction_above_conf
event_000017,ch01,suspect,16,7.500,0.696827,2,11,,prediction_above_conf
event_000018,ch01,suspect,17,8.000,0.977579,1,11,,prediction_above_conf
event_000019,ch01,suspect,18,8.500,0.425234,1,11,,prediction_above_conf
event_000020,ch01,suspect,19,9.000,0.541386,2,11,,prediction_above_conf
event_000021,ch01,suspect,20,9.500,0.926806,1,11,,prediction_above_conf
event_000022,ch01,suspect,21,10.000,0.524760,2,11,,prediction_above_conf
event_000023,ch01,suspect,23,11.000,0.742016,1,10,,prediction_above_conf
event_000024,ch01,suspect,25,12.000,0.978639,1,9,,prediction_above_conf
event_000025,ch01,suspect,26,12.500,0.796591,1,9,,prediction_above_conf
event_000026,ch01,suspect,27,13.000,0.981555,1,9,,prediction_above_conf
event_000027,ch01,suspect,29,14.000,0.344216,2,8,,prediction_above_conf
event_000028,ch01,suspect,30,14.500,0.879019,2,8,,prediction_above_conf
event_000029,ch01,suspect,31,15.000,0.705730,1,8,,prediction_above_conf
event_000030,ch01,suspect,32,15.500,0.879352,1,8,,prediction_above_conf
event_000031,ch01,suspect,33,16.000,0.877351,1,9,,prediction_above_conf
event_000032,ch01,suspect,34,16.500,0.925760,2,9,,prediction_above_conf
event_000033,ch01,suspect,35,17.000,0.742944,1,10,,prediction_above_conf
event_000034,ch01,suspect,36,17.500,0.895400,1,10,,prediction_above_conf
event_000035,ch01,suspect,37,18.000,0.994660,1,10,,prediction_above_conf
event_000036,ch01,suspect,38,18.500,0.292467,1,10,,prediction_above_conf
event_000037,ch01,suspect,39,19.000,0.803370,2,11,,prediction_above_conf
event_000038,ch01,suspect,40,19.500,0.823780,2,11,,prediction_above_conf
event_000039,ch01,suspect,41,20.000,0.821246,2,11,,prediction_above_conf
event_000040,ch01,suspect,42,20.500,0.946631,2,11,,prediction_above_conf
event_000041,ch01,suspect,43,21.000,0.968444,1,11,,prediction_above_conf
event_000042,ch01,suspect,45,22.000,0.815595,1,10,,prediction_above_conf
event_000043,ch01,suspect,47,23.000,0.765510,2,9,,prediction_above_conf
event_000044,ch01,suspect,48,23.500,0.885336,2,9,,prediction_above_conf
event_000045,ch01,suspect,49,24.000,0.601914,1,9,,prediction_above_conf
event_000046,ch01,suspect,50,24.500,0.409141,2,9,,prediction_above_conf
event_000047,ch01,suspect,51,25.000,0.784686,1,9,,prediction_above_conf
event_000048,ch01,suspect,52,25.500,0.943420,2,9,,prediction_above_conf
event_000049,ch01,suspect,53,26.000,0.654765,2,9,,prediction_above_conf
event_000050,ch01,suspect,54,26.500,0.948218,2,9,,prediction_above_conf
event_000051,ch01,suspect,55,27.000,0.437772,1,10,,prediction_above_conf
event_000052,ch01,suspect,56,27.500,0.906202,1,10,,prediction_above_conf
event_000053,ch01,suspect,57,28.000,0.494558,1,11,,prediction_above_conf
event_000054,ch01,suspect,58,28.500,0.693042,2,11,,prediction_above_conf
event_000055,ch01,suspect,59,29.000,0.978770,1,11,,prediction_above_conf
event_000056,ch01,suspect,60,29.500,0.715791,1,11,,prediction_above_conf
event_000057,ch02,suspect,35,17.000,0.303063,1,1,03_experiments/runtime_runs/seminar_v1/snapshots/ch02_first_suspect.jpg,prediction_above_conf
event_000058,ch03,suspect,3,1.000,0.760570,2,1,03_experiments/runtime_runs/seminar_v1/snapshots/ch03_first_suspect.jpg,prediction_above_conf
event_000059,ch03,suspect,5,2.000,0.792449,1,2,,prediction_above_conf
event_000060,ch03,alarm,5,2.000,0.792449,1,2,03_experiments/runtime_runs/seminar_v1/snapshots/ch03_first_alarm.jpg,temporal_k_in_5s_window
event_000061,ch03,suspect,10,4.500,0.374327,2,3,,prediction_above_conf
event_000062,ch03,suspect,13,6.000,0.760727,1,4,,prediction_above_conf
event_000063,ch03,suspect,15,7.000,0.792973,1,4,,prediction_above_conf
event_000064,ch03,suspect,20,9.500,0.374327,2,4,,prediction_above_conf
event_000065,ch03,suspect,23,11.000,0.760532,1,4,,prediction_above_conf
event_000066,ch03,suspect,25,12.000,0.792346,1,4,,prediction_above_conf
event_000067,ch03,suspect,30,14.500,0.374327,2,4,,prediction_above_conf
event_000068,ch03,suspect,33,16.000,0.760727,1,4,,prediction_above_conf
event_000069,ch03,suspect,35,17.000,0.793417,1,4,,prediction_above_conf
event_000070,ch03,suspect,40,19.500,0.374327,2,4,,prediction_above_conf
event_000071,ch03,suspect,43,21.000,0.760930,1,4,,prediction_above_conf
event_000072,ch03,suspect,45,22.000,0.792396,1,4,,prediction_above_conf
event_000073,ch03,suspect,50,24.500,0.374327,2,4,,prediction_above_conf
event_000074,ch03,suspect,53,26.000,0.760712,1,4,,prediction_above_conf
event_000075,ch03,suspect,55,27.000,0.794732,1,4,,prediction_above_conf
event_000076,ch03,suspect,60,29.500,0.380881,1,4,,prediction_above_conf
event_000077,ch04,suspect,7,3.000,0.299415,1,1,03_experiments/runtime_runs/seminar_v1/snapshots/ch04_first_suspect.jpg,prediction_above_conf
event_000078,ch04,suspect,9,4.000,0.338160,1,2,,prediction_above_conf
event_000079,ch04,alarm,9,4.000,0.338160,1,2,03_experiments/runtime_runs/seminar_v1/snapshots/ch04_first_alarm.jpg,temporal_k_in_5s_window
event_000080,ch04,suspect,18,8.500,0.702091,1,2,,prediction_above_conf
event_000081,ch04,suspect,32,15.500,0.302827,1,1,,prediction_above_conf
event_000082,ch04,suspect,34,16.500,0.311761,1,2,,prediction_above_conf
event_000083,ch04,alarm,34,16.500,0.311761,1,2,,temporal_k_in_5s_window
event_000084,ch04,suspect,43,21.000,0.721589,1,2,,prediction_above_conf
event_000085,ch04,suspect,57,28.000,0.298984,1,1,,prediction_above_conf
event_000086,ch04,suspect,59,29.000,0.311701,1,2,,prediction_above_conf
event_000087,ch04,alarm,59,29.000,0.311701,1,2,,temporal_k_in_5s_window
